Event Name,Event Date,Result,Fighter1,Fighter2,KD,Strikes,TD,Sub,Weight Class,Method,Round,Time,rand,Fighter1_Fighter2
UFC Fight Night: Vera vs. Sandhagen,25-Mar-23,Cory Sandhagen,Cory Sandhagen,Marlon Vera,0-0,128-58,Mar-00,0-1,Bantamweight,S-DEC,5,5:00,0.012169252,Cory Sandhagen
UFC Fight Night: Vera vs. Sandhagen,25-Mar-23,Holly Holm,Holly Holm,Yana Santos,0-0,32-21,Apr-00,0-0,Women's Bantamweight,U-DEC,3,5:00,0.949919516,Yana Santos
UFC Fight Night: Vera vs. Sandhagen,25-Mar-23,Nate Landwehr,Nate Landwehr,Austin Lingo,0-0,64-48,Jan-00,Jan-00,Featherweight,SUB-Rear-Naked-Choke,2,4:11,0.302052035,Nate Landwehr
UFC Fight Night: Vera vs. Sandhagen,25-Mar-23,Maycee Barber,Maycee Barber,Andrea Lee,0-0,48-39,5-Feb,0-0,Women's Flyweight,S-DEC,3,5:00,0.639178334,Andrea Lee
UFC Fight Night: Vera vs. Sandhagen,25-Mar-23,Albert Duraev,Albert Duraev,Chidi Njokuani,0-0,45-40,Feb-00,0-0,Middleweight,S-DEC,3,5:00,0.654770364,Chidi Njokuani
UFC Fight Night: Vera vs. Sandhagen,25-Mar-23,Daniel Pineda,Daniel Pineda,Tucker Lutz,Jan-00,24-28,Jan-00,Feb-00,Featherweight,SUB-Guillotine-Choke,2,2:50,0.030989792,Daniel Pineda
UFC Fight Night: Vera vs. Sandhagen,25-Mar-23,Lucas Alexander,Lucas Alexander,Steven Peterson,Jan-00,85-26,0-0,0-0,Featherweight,U-DEC,3,5:00,0.477271618,Lucas Alexander
UFC Fight Night: Vera vs. Sandhagen,25-Mar-23,Trevin Giles,Trevin Giles,Preston Parsons,0-0,55-42,0-3,0-3,Welterweight,S-DEC,3,5:00,0.555459957,Preston Parsons
UFC Fight Night: Vera vs. Sandhagen,25-Mar-23,CJ Vergara,CJ Vergara,Daniel Lacerda,0-2,83-48,0-1,2-Jan,Flyweight,KO/TKO-Elbows,2,4:04,0.337072706,CJ Vergara
UFC Fight Night: Vera vs. Sandhagen,25-Mar-23,Victor Altamirano,Victor Altamirano,Vinicius Salvador,0-0,62-47,1-Mar,0-0,Flyweight,U-DEC,3,5:00,0.634403974,Vinicius Salvador
UFC 286: Edwards vs. Usman 3,18-Mar-23,Leon Edwards,Leon Edwards,Kamaru Usman,0-0,120-87,0-4,0-0,Welterweight,M-DEC,5,5:00,0.180683511,Leon Edwards
UFC 286: Edwards vs. Usman 3,18-Mar-23,Justin Gaethje,Justin Gaethje,Rafael Fiziev,0-0,103-97,Jan-00,0-0,Lightweight,M-DEC,3,5:00,0.624639989,Rafael Fiziev
UFC 286: Edwards vs. Usman 3,18-Mar-23,Gunnar Nelson,Gunnar Nelson,Bryan Barberena,0-0,7-Oct,Jan-00,Jan-00,Welterweight,SUB-Armbar,1,4:51,0.748071148,Bryan Barberena
UFC 286: Edwards vs. Usman 3,18-Mar-23,Jennifer Maia,Jennifer Maia,Casey O'Neill,0-0,145-137,0-0,0-0,Women's Flyweight,U-DEC,3,5:00,0.031594795,Jennifer Maia
UFC 286: Edwards vs. Usman 3,18-Mar-23,Marvin Vettori,Marvin Vettori,Roman Dolidze,0-0,106-71,0-0,0-0,Middleweight,U-DEC,3,5:00,0.488284794,Marvin Vettori
UFC 286: Edwards vs. Usman 3,18-Mar-23,Jack Shore,Jack Shore,Makwan Amirkhani,0-0,28-10,1-Jan,Jan-00,Featherweight,SUB-Rear-Naked-Choke,2,4:27,0.400279387,Jack Shore
UFC 286: Edwards vs. Usman 3,18-Mar-23,Chris Duncan,Chris Duncan,Omar Morales,0-0,53-47,May-00,0-0,Lightweight,S-DEC,3,5:00,0.729261473,Omar Morales
UFC 286: Edwards vs. Usman 3,18-Mar-23,Yanal Ashmouz,Yanal Ashmouz,Sam Patterson,0-0,15-2,Jan-00,0-0,Lightweight,KO/TKO-Punches,1,1:15,0.925533318,Sam Patterson
UFC 286: Edwards vs. Usman 3,18-Mar-23,Muhammad Mokaev,Muhammad Mokaev,Jafel Filho,0-0,16-9,Apr-00,2-Feb,Flyweight,SUB-Neck-Crank,3,4:32,0.775956375,Jafel Filho
UFC 286: Edwards vs. Usman 3,18-Mar-23,Lerone Murphy,Lerone Murphy,Gabriel Santos,0-0,93-69,5-Jan,0-0,Featherweight,S-DEC,3,5:00,0.820335804,Gabriel Santos
UFC 286: Edwards vs. Usman 3,18-Mar-23,Christian Duncan,Christian Duncan,Dusko Todorovic,0-0,4-Sep,0-0,0-0,Middleweight,KO/TKO,1,1:52,0.152792346,Christian Duncan
UFC 286: Edwards vs. Usman 3,18-Mar-23,Jake Hadley,Jake Hadley,Malcolm Gordon,Jan-00,3-Oct,0-0,0-0,Flyweight,KO/TKO-Punch,1,1:01,0.33667425,Jake Hadley
UFC 286: Edwards vs. Usman 3,18-Mar-23,Joanne Wood,Joanne Wood,Luana Carolina,0-0,131-100,Feb-00,0-0,Women's Flyweight,S-DEC,3,5:00,0.241868989,Joanne Wood
UFC 286: Edwards vs. Usman 3,18-Mar-23,Draw,Jai Herbert,Ludovit Klein,0-0,43-47,2-Jan,0-0,Lightweight,M-DEC,3,5:00,0.506879424,Ludovit Klein
UFC 286: Edwards vs. Usman 3,18-Mar-23,Veronica Hardy,Veronica Hardy,Juliana Miller,0-0,62-30,Apr-00,0-3,Women's Flyweight,U-DEC,3,5:00,0.33063931,Veronica Hardy
UFC Fight Night: Yan vs. Dvalishvili,11-Mar-23,Merab Dvalishvili,Merab Dvalishvili,Petr Yan,0-0,147-75,1-Nov,0-0,Bantamweight,U-DEC,5,5:00,0.957365358,Petr Yan
UFC Fight Night: Yan vs. Dvalishvili,11-Mar-23,Alexander Volkov,Alexander Volkov,Alexandr Romanov,0-0,Dec-00,0-0,0-0,Heavyweight,KO/TKO-Punches,1,2:16,0.892776179,Alexandr Romanov
UFC Fight Night: Yan vs. Dvalishvili,11-Mar-23,Nikita Krylov,Nikita Krylov,Ryan Spann,0-0,5-Jul,1-Feb,1-Feb,Catch Weight,SUB-Triangle-Choke,1,3:38,0.584783099,Ryan Spann
UFC Fight Night: Yan vs. Dvalishvili,11-Mar-23,Jonathan Martinez,Jonathan Martinez,Said Nurmagomedov,0-0,38-47,0-3,2-Jan,Bantamweight,U-DEC,3,5:00,0.0057923,Jonathan Martinez
UFC Fight Night: Yan vs. Dvalishvili,11-Mar-23,Mario Bautista,Mario Bautista,Guido Cannetti,0-0,2-Mar,1-Mar,Jan-00,Bantamweight,SUB-Rear-Naked-Choke,1,3:18,0.19556327,Mario Bautista
UFC Fight Night: Yan vs. Dvalishvili,11-Mar-23,Vitor Petrino,Vitor Petrino,Anton Turkalj,0-0,39-33,5-Jul,Jan-00,Light Heavyweight,U-DEC,3,5:00,0.480777619,Vitor Petrino
